StationID,StationName,StationEnglishName,Longitude,Latitude,District,DebrisNO,Disaster,River,Drainage,Catchment,SubCatchment
2,九份二山,Jioufen-ershan,120.854392,23.949895,南投縣國姓鄉南港村,投縣DF101,溪流型,韭菜湖溪,烏溪流域,南港溪,韭菜湖溪
4,上安,Shang-an,120.876679,23.72541,南投縣水里鄉上安村,投縣DF165,溪流型,陳有蘭支溪,濁水溪流域,陳有蘭溪,安林
17,下田埔,Xiatianpu,121.273103,24.636062,新竹縣尖石鄉秀巒村,無,溪流型,大漢溪,淡水河流域,石門水庫,新光
7,大粗坑,Dacukeng,121.838927,25.091251,新北市瑞芳區弓橋里,新北DF174,溪流型,牡丹溪,淡水河流域,基隆河,瑞芳
21,大鳥,Daniao,120.910458,22.389873,台東縣大武鄉大鳥村,東縣DF097,溪流型,大鳥溪,太麻里溪流域,大鳥沿海,大鳥沿海
11,大興,Dasing,121.37825,23.641768,花蓮縣光復鄉大興村,花縣DF118,溪流型,花蓮溪支流,花蓮溪流域,花蓮溪沿海,南清水溪
23,司馬庫斯,-,121.30734,24.610487,新竹縣尖石鄉秀巒村,,-,-,-,-,-
1,白布帆,Baibufan,120.905896,24.298227,苗栗縣卓蘭鎮內灣里,苗縣DF058,坡面型,清泉橋野溪,大安溪流域,大安溪,大安溪中游
20,來義,Laiyi,120.676125,22.525964,屏東縣來義鄉來義村,屏縣DF025,溪流型,義林,林邊溪流域,林邊溪,義林
25,和中,Hezhong,121.741801,24.270832,花蓮縣秀林鄉和平村,花縣DF166,溪流型,無名野溪,太魯閣沿海河系,卡那岸沿海,良里溪
14,坪頂,Ping Ding,120.639013,23.75386,雲林縣林內鄉坪頂村,無,坡面型,坪頂溪,新虎尾溪流域,新虎尾溪,林內
13,松鶴,Songhe,120.98576,24.177069,台中市和平區博愛里,中市DF028,坡面型,松鶴一溪,大甲溪流域,石岡壩水庫,松鶴
18,羌黃坑,Qianghuangkeng,120.536955,23.07211,台南市南化區玉山里,南市DF048,-,-,曾文溪流域,南化水庫,芒果坑溪
24,南豐,Nanfeng,121.088627,24.017338,南投縣仁愛鄉南豐村,投縣DF012,溪流型,南山溪,烏溪流域,南港溪,南山溪
9,射馬干,Shemagan,121.03782,22.725061,台東縣台東市建和里,東縣DF058,溪流型,野溪,太麻里溪流域,知本溪,知本
3,神木,Shenmu,120.856691,23.528204,南投縣信義鄉神木村,投縣DF199,溪流型,出水溪,濁水溪流域,陳有蘭溪,那瑪嘎班溪
5,郡坑,Jyunkeng,120.870126,23.739861,南投縣水里鄉郡坑村,投縣DF167,溪流型,陳有蘭支溪,濁水溪流域,陳有蘭溪,安林
10,華山,Huashan,120.607982,23.593533,雲林縣古坑鄉華山村,雲縣DF002,溪流型,華山橋野溪,北港溪流域,虎尾溪,崁頂溪
19,集來,Jilai,120.592901,23.028691,高雄市杉林區集來里,高市DF072,溪流型,火山溪,高屏溪流域,旗山溪,甲仙
8,鳳義坑,Fongyikeng,121.42608,23.740881,花蓮縣鳳林鎮鳳義里,花縣DF125,溪流型,鳳林溪,花蓮溪流域,花蓮溪沿海,鳳林溪
12,豐山,Fongshan,120.744799,23.590386,嘉義縣阿里山鄉豐山村,嘉縣DF039,溪流型,乾坑溪,濁水溪流域,清水溪,塔山
6,豐丘,Fongciou,120.876961,23.667997,南投縣信義鄉豐丘村,投縣DF190,溪流型,一號野溪,濁水溪流域,陳有蘭溪,豐丘
15,蘇樂,Sulok,121.356813,24.700595,桃園縣復興鄉高義村,桃縣DF035,溪流型,蘇樂溪,淡水河流域,石門水庫,蘇樂橋
