disaster,occurrence_time,occurrence_place,degree_of_disaster,death,serious_hurt,missing,house
杜鵑颱風,104.09.07,全市,1人死亡，7受傷,1,3,0,0
天鵝颱風,104.08.22,全市,無人受傷,0,0,0,80
蘇迪勒颱風,104.08.06,全市,3人死亡， 4人失蹤，52人受傷,3,21,4,250
昌鴻颱風,104.07.09,全市,2人受傷,0,1,0,100
八仙粉塵氣爆,104.06.27,八里區八仙樂園,傷患總計499人,15,248,0,0
0204復興空難,104.02.04,臺北市南港區與新北市汐止交界的基隆河河面上,43人死亡， 15人受傷,43,8,0,0
麥德姆颱風,103.07.21,全市,0人死亡， 4人受傷,0,1,0,20
蘇力颱風,102.07.11,全市,1人死亡， 38人受傷,1,5,0,30
蘇拉颱風,101.07.30,全市,2人死亡， 10人受傷,2,1,0,200
0611豪雨災害,101.06.11,受梅雨鋒面影響，全市有雨,1人死亡， 6人受傷,1,0,0,0
